Order,Family,Genus,Species,Authority,CommonName,AdultBodyMass,DietBreadth,Diet: invertebrates,Diet: vertebrates,Diet: fruits,Diet: flower/nectar/pollen/gums,Diet: seeds,Diet: other plant materials,Diet: scavenge; garbage; carrion; offal; carcasses,TrophicLevel,ActivityCycle,ForagingStratum,MigratoryStatus,IncubationTime,ClutchSize,EggLength,EggWidth,EggMass,NestingHabit,MaxLongevity,Dry,Humid,Montane,Subarid,Subhumid,Alaotra.Mangoro,Amoron.i.Mania,Analamanga,Analanjirofo,Androy,Anosy,Atsimo.Andrefana,Atsimo.Atsinanana,Atsinanana,Betsiboka,Boeny,Bongolava,DIANA,Haute.Matsiatra,Ihorombe,Itasy,Melaky,Menabe,SAVA,Sofia,Vakinankaratra,Vatovavy.Fitovinany,Antananarivo,Antsiranana,Fianarantsoa,Mahajanga,Toamasina,Toliara,References
Anseriformes,Anatidae,Aythya,Aythya innotata,"(Salvadori, 1894)",Madagascar Pochard ,685,2,yes,no,no,no,yes,no,no,2,3,1,no,27,8,55,40,-999,terrestrial,-999,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,109; 254; 376; 40; 168
Anseriformes,Anatidae,Dendrocygna,Dendrocygna viduata,"(Linnaeus, 1766)",White-faced Whistling-duck ,690,4,yes,no,yes,no,yes,yes,no,2,1,1,yes,27.5,7.5,49.1,38.25,35.25,terrestrial,144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,109; 254; 376; 379; 22; 4
Anseriformes,Anatidae,Nettapus,Nettapus auritus,"(Boddaert, 1783)",African Pygmy-goose ,266,4,yes,yes,no,no,yes,yes,no,2,3,1,no,24.5,9,43.2,33.45,27,arboreal,-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,109; 254; 376; 37; 168
Anseriformes,Anatidae,Sarkidiornis,Sarkidiornis melanotos,"(Pennant, 1769)",Comb Duck ,2610,3,yes,no,no,no,yes,yes,no,2,3,1,yes,29,8,62,42.55,51,arboreal,-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,109; 254; 376; 36; 22
Anseriformes,Anatidae,Spatula,Spatula hottentota,"(Eyton, 1838)",Hottentot Teal ,280,4,yes,no,yes,no,yes,yes,no,2,2,1,no,26,8.5,44.5,32.5,26.5,aquatic,-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,109; 254; 376; 39; 168
Anseriformes,Anatidae ,Dendrocygna,Dendrocygna bicolor,"(Vieillot, 1816)",Fulvous Whistling-duck ,756.5,3,no,no,yes,no,yes,yes,no,1,3,1,yes,25.75,13.17,53.4,40.7,50.25,aquatic,134.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,109; 254; 376; 38; 22; 4; 219
Anseriformes,Anatidae ,Thalassornis,Thalassornis leuconotus,"Eyton, 1838",White-backed Duck ,707.5,3,yes,no,no,no,yes,yes,no,2,3,1,no,31,7,61.9,48.3,85.5,aquatic,-999,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,44; 44; 376; 168
Apodiformes,Apodidae,Apus,Apus affinis,"(Gray, 1830)",Little Swift ,17.9,1,yes,no,no,no,no,no,no,3,3,4,yes,23,2,-999,-999,2.42,manmade structure,-999,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,109; 254; 376; 56; 116; 219
Apodiformes,Apodidae,Apus,Apus balstoni,"(Bartlett, 1880)",Madagascar Swift ,46.1,1,yes,no,no,no,no,no,no,3,-999,1,no,19.6,2,-999,-999,3.58,aquatic,253,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,109; 254; 376; 97; 22; 255
Apodiformes,Apodidae,Apus,Apus barbatus,"(Sclater, 1865)",African Swift,42.5,1,yes,no,no,no,no,no,no,3,-999,4,yes,19.6,2,-999,-999,3.58,-999,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59; 376; 22; 255
Apodiformes,Apodidae,Cypsiurus,Cypsiurus parvus,"(Lichtenstein, 1823)",African Palm-swift ,13.6,1,yes,no,no,no,no,no,no,3,2,4,no,20,2,19.2,12.6,1.36,arboreal,-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,109; 254; 376; 57; 368; 168; 255
Apodiformes,Apodidae,Tachymarptis,Tachymarptis melba,"(Linnaeus, 1758)",Alpine Swift ,98,1,yes,no,no,no,no,no,no,3,1,4,yes,20,3,-999,-999,6.05,manmade structure,312,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60; 60; 376; 22; 219; 255
Apodiformes,Apodidae,Zoonavena,Zoonavena grandidieri,"(Verreaux, 1867)",Malagasy Spinetail ,10.5,1,yes,no,no,no,no,no,no,3,3,4,no,-999,-999,-999,-999,-999,arboreal,-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,376; 168; 376; 254; 58
Bucerotiformes,Phoenicopteridae,Phoeniconaias,Phoeniconaias minor,"(Geoffroy Saint-Hilaire, 1798)",Lesser Flamingo ,1500,2,yes,no,no,no,no,yes,no,2,3,1,yes,28,1,-999,-999,117.25,terrestrial,492,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,109; 254; 376; 90; 168; 255; 4
Bucerotiformes,Phoenicopteridae,Phoenicopterus,Phoenicopterus roseus,"Pallas, 1811",Greater Flamingo ,3035,4,yes,yes,no,no,yes,yes,no,2,3,1,yes,29.5,1,-999,-999,142,terrestrial,528,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,109; 376; 22; 92; 22; 4; 255
Bucerotiformes,Upipidae,Upupa,Upupa marginata,"Cabanis & Heine, 1860",Madagascar hoopoe,76.6,1,yes,no,no,no,no,no,no,3,3,1,no,15.5,6,25.05,17.65,4.45,arboreal,-999,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,310; 254; 168; 96; 376; 255
Caprimulgiformes,Caprimulgidae,Gactornis,Gactornis enarratus,"(Gray, 1871)",Collared Nightjar ,52.8,1,yes,no,no,no,no,no,no,3,1,3,no,-999,2,-999,-999,-999,terrestrial,-999,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,109; 254; 168; 376; 65
Caprimulgiformes,Caprimulgidae ,Caprimulgus,Caprimulgus madagascariensis,"Sganzin, 1840",Madagascar Nightjar ,41.1,1,yes,no,no,no,no,no,no,3,1,4,no,-999,2,-999,-999,-999,terrestrial,-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,109; 254; 168; 376; 66
Casuariiformes,Dromadidae,Dromas,Dromas ardeola,"Paykull, 1805",Crab Plover ,325,1,yes,no,no,no,no,no,no,3,2,1,yes,32.5,1,62.75,45.5,45,terrestrial,-999,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,109; 254; 376; 306; 168; 219
Charadriiformes,Charadriidae,Charadrius,Charadrius bifrontatus,"Cabanis, 1882",Three-banded Plover ,31.2,1,yes,no,no,no,no,no,no,3,2,1,no,-999,1.5,30.05,22.45,8,terrestrial,-999,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,109; 254; 376; 100; 168
Charadriiformes,Charadriidae,Charadrius,Charadrius dubius,"Scopoli, 1786",Little Ringed Plover,36,1,yes,no,no,no,no,no,no,3,-999,1,yes,24.5,4,-999,-999,7.7,-999,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4; 376; 22; 255; 4
Charadriiformes,Charadriidae,Charadrius,Charadrius hiaticula,"Linnaeus, 1758",Common Ringed Plover ,64.05,1,yes,no,no,no,no,no,no,3,2,1,yes,24,4,35.8,25.9,10.9,terrestrial,249.6,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,109; 254; 376; 371; 116; 168; 219; 4
Charadriiformes,Charadriidae,Charadrius,Charadrius marginatus,"Vieillot, 1818",White-fronted Plover ,48.3,1,yes,no,no,no,no,no,no,3,3,1,no,29.5,2.5,31.35,22.6,8.95,terrestrial,228,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,109; 254; 376; 375; 168; 255
Charadriiformes,Charadriidae,Charadrius,Charadrius pecuarius,"Temminck, 1823",Kittlitz's Plover ,34,1,yes,no,no,no,no,no,no,3,2,1,no,25.5,2,31.45,22,7.75,terrestrial,-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,109; 254; 376; 374; 168
Charadriiformes,Charadriidae,Charadrius,Charadrius thoracicus,"(Richmond, 1896)",Madagascar Plover ,11.5,1,yes,no,no,no,no,no,no,3,3,1,no,27,1.5,32.6,23.7,-999,terrestrial,-999,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,109; 254; 376; 370; 398; 168
Charadriiformes,Charadriidae ,Charadrius,Charadrius leschenaultii,"Lesson, 1826",Greater Sand Plover ,74.8,2,yes,yes,no,no,no,no,no,3,3,1,yes,24,3,38.6,27.7,19.6,terrestrial,-999,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,109; 254; 376; 372; 116; 168; 255
Charadriiformes,Charadriidae ,Pluvialis,Pluvialis squatarola,"(Linnaeus, 1758)",Grey Plover ,250,3,yes,no,no,no,yes,yes,no,2,2,1,yes,26.75,4,51.7,36,34.2,terrestrial,307.2,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,109; 376; 22; 373; 168; 4; 219
Charadriiformes,Glareolidae,Glareola,Glareola ocularis,"Verreaux, 1833",Madagascar Pratincole ,92.5,1,yes,no,no,no,no,no,no,3,2,4,yes,-999,1.5,33.9,26.05,-999,terrestrial,-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,109; 254; 376; 227; 168
Charadriiformes,Jacanidae,Actophilornis,Actophilornis albinucha,"(Geoffroy Saint-Hilaire, 1832)",Madagascar Jacana ,239,2,yes,no,no,no,yes,no,no,2,3,1,no,-999,1,36.5,25.3,12.7,aquatic,-999,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,109; 254; 376; 189; 168; 255
Charadriiformes,Laridae,Chlidonias,Chlidonias hybrida,"(Pallas, 1811)",Whiskered Tern,84,2,yes,yes,no,no,no,no,no,3,3,1,yes,19,2.5,3.87,-999,16,aquatic,-999,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,143; 254; 376; 143; 22; 255
Charadriiformes,Laridae,Chlidonias,Chlidonias leucopterus,"(Temminck, 1815)",White-winged Tern,66,2,yes,yes,no,no,no,no,no,3,3,1,yes,20,2.8,-999,-999,10.5,aquatic,-999,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,139; 254; 376; 139; 22; 219
Charadriiformes,Laridae,Hydroprogne,Hydroprogne caspia,"(Pallas, 1770)",Caspian Tern ,678,2,no,yes,no,no,no,no,yes,2,3,1,yes,24,2.25,-999,-999,65,terrestrial,360,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,136; 254; 136; 376; 22; 4; 219
Charadriiformes,Laridae,Larus,Larus cirrocephalus,"Vieillot, 1818",Grey-headed Gull ,381,3,yes,yes,no,no,no,no,yes,2,3,1,yes,-999,3,-999,-999,-999,terrestrial,-999,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,109; 254; 376; 33; 22
Charadriiformes,Laridae,Onychoprion,Onychoprion anaethetus,"(Scopoli, 1786)",Bridled Tern ,131,2,yes,yes,no,no,no,no,no,3,2,1,yes,30,1,-999,-999,20,terrestrial,214.8,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,140; 254; 376; 140; 22; 255; 219; 4
Charadriiformes,Laridae,Onychoprion,Onychoprion fuscatus,"(Linnaeus, 1766)",Sooty Tern ,173,3,yes,yes,no,no,no,no,yes,2,2,1,yes,28.75,1,-999,-999,40.2,terrestrial,429.6,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,145; 254; 376; 145; 22; 4; 219
Charadriiformes,Laridae,Sterna,Sterna dougallii,"Montagu, 1813",Roseate Tern ,107.5,2,yes,yes,no,no,no,no,no,3,3,1,yes,23.5,2,-999,-999,20.4,terrestrial,308.4,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,137; 254; 376; 137; 22; 4; 219
Charadriiformes,Laridae,Sterna,Sterna hirundo,"Linnaeus, 1758",Common Tern ,121.5,3,yes,yes,no,no,no,no,yes,2,3,1,yes,24.5,2.75,-999,-999,21,terrestrial,396,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,138; 254; 376; 138; 168; 4; 219
Charadriiformes,Laridae,Sternula,Sternula saundersi,"(Hume, 1877)",Saunders's Tern ,42.5,2,yes,yes,no,no,no,no,no,3,3,1,yes,21.25,2,-999,-999,10,terrestrial,287,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,142; 376; 22; 254; 142; 168; 255
Charadriiformes,Laridae,Thalasseus,Thalasseus bengalensis,"(Lesson, 1831)",Lesser Crested Tern ,213.5,2,yes,yes,no,no,no,no,no,3,3,1,yes,23.5,1,-999,-999,37.1,terrestrial,-999,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,141; 254; 376; 141; 22; 255
Charadriiformes,Laridae,Thalasseus,Thalasseus bergii,"(Lichtenstein, 1823)",Greater Crested Tern ,370,3,yes,yes,no,no,no,no,yes,2,3,1,yes,27.5,1,-999,-999,60,terrestrial,244.08,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,144; 254; 376; 144; 22; 255
Charadriiformes,Laridae ,Larus,Larus dominicanus,"Lichtenstein, 1823",Kelp Gull ,957,3,yes,yes,no,no,no,no,yes,2,3,1,no,27,2,7.15,4.88,84.2,terrestrial,157,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,109; 254; 376; 32; 168; 219; 255
Charadriiformes,Recurvirostridae,Himantopus,Himantopus himantopus,"(Linnaeus, 1758)",Black-winged Stilt ,161,3,yes,yes,no,no,yes,no,no,2,3,1,yes,25.5,4.5,41.5,30.5,21.8,terrestrial,122.4,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,109; 254; 376; 298; 22; 219; 4
Charadriiformes,Rostratulidae,Rostratula,Rostratula benghalensis,"(Linnaeus, 1758)",Greater Painted-snipe ,121,2,yes,no,no,no,yes,no,no,2,2,1,no,18,3.5,35.6,25,13,terrestrial,-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,109; 254; 376; 206; 168
Charadriiformes,Scolopacidae,Actitis,Actitis hypoleucos,"Linnaeus, 1758",Common Sandpiper ,48,3,yes,yes,no,no,no,yes,no,2,2,1,yes,21.5,4,36.4,26.3,12.5,terrestrial,174,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,109; 254; 376; 356; 168; 255; 4
Charadriiformes,Scolopacidae,Arenaria,Arenaria interpres,"(Linnaeus, 1758)",Ruddy Turnstone ,136,3,yes,yes,no,no,no,yes,no,2,3,1,yes,23.25,3.5,39.7,28.9,17.9,terrestrial,267.6,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,109; 254; 376; 358; 103; 168; 4; 219
Charadriiformes,Scolopacidae,Calidris,Calidris alba,"(Pallas, 1764)",Sanderling ,49.3,5,yes,yes,no,no,yes,yes,yes,2,3,1,yes,27.5,3,-999,-999,11.2,terrestrial,223.2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,109; 104; 376; 354; 254; 116; 168; 4
Charadriiformes,Scolopacidae,Calidris,Calidris ferruginea,(Pontoppidan 1763),Curlew Sandpiper ,58.1,2,yes,no,no,no,yes,no,no,2,3,1,yes,19.5,3.8,-999,-999,12,terrestrial,236.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,109; 254; 376; 362; 168; 219; 4
Charadriiformes,Scolopacidae,Calidris,Calidris minuta,"(Leisler, 1812)",Little Stint ,21.1,2,yes,no,no,no,no,yes,no,2,3,1,yes,20.5,4,-999,-999,6.3,terrestrial,176.4,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,109; 254; 376; 353; 116; 219; 4
Charadriiformes,Scolopacidae,Gallinago,Gallinago macrodactyla,"Bonaparte, 1839",Madagascar Snipe ,216,3,yes,no,no,no,yes,yes,no,2,3,1,no,-999,1.5,45.5,31.9,24.3,terrestrial,-999,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,109; 254; 376; 357; 168; 255
Charadriiformes,Scolopacidae,Numenius,Numenius arquata,"(Linnaeus, 1758)",Eurasian Curlew ,805.5,4,yes,yes,yes,no,yes,no,no,2,3,1,yes,28,3.5,67.6,47.9,76,terrestrial,381.6,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,109; 376; 363; 22; 168; 219; 254; 4
Charadriiformes,Scolopacidae,Tringa,Tringa glareola,"Linnaeus, 1758",Wood sandpiper,69.4,2,yes,yes,no,no,no,no,no,3,3,1,yes,22.5,4,38.3,26.4,13.5,terrestrial,139.2,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,110; 254; 376; 361; 168; 219; 4
Charadriiformes,Scolopacidae,Tringa,Tringa nebularia,"(Gunnerus, 1767)",Common Greenshank ,162,2,yes,yes,no,no,no,no,no,3,3,1,yes,24,4,51.4,34.8,30.5,terrestrial,292.8,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,310; 376; 355; 168; 219; 4
Charadriiformes,Scolopacidae,Tringa,Tringa stagnatilis,"(Bechstein, 1803)",Marsh Sandpiper,72.1,3,yes,yes,no,no,no,yes,no,2,2,1,yes,-999,4,-999,-999,14,-999,85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110; 376; 22; 22; 255; 4
Charadriiformes,Scolopacidae,Xenus,Xenus cinereus,"(Güldenstädt, 1775)",Terek Sandpiper ,88,2,yes,no,no,no,yes,no,no,2,3,1,yes,23.5,4,38.6,26.6,13.5,terrestrial,192,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,359; 359; 376; 168; 255; 4
